"","M̻s","Ton/Dia","Data","Lavagem"
"1","2019-12",21.35824928,2019-12-01,"Volume Mensal"
"2","2020-01",24.49562712,2020-01-01,"Volume Mensal"
"3","2020-02",9.205524,2020-02-01,"Volume Mensal"
"4","2020-03",12.8966193333333,2020-03-01,"Volume Mensal"
"5","2020-04",6.51899375,2020-04-01,"Volume Mensal"
"6","2020-05",1.27161766666667,2020-05-01,"Volume Mensal"
"7","2020-06",13.2028091666667,2020-06-01,"Volume Mensal"
"8","2020-07",23.5078422066667,2020-07-01,"Volume Mensal"
"9","2020-08",29.20460512,2020-08-01,"Volume Mensal"
"10","2020-09",13.17349306,2020-09-01,"Volume Mensal"
"11","2020-10",18.1160721,2020-10-01,"Volume Mensal"
"12","2020-11",26.00116825,2020-11-01,"Volume Mensal"
"13","2020-12",18.37666016,2020-12-01,"Volume Mensal"
"14","2021-01",23.64512817,2021-01-01,"Volume Mensal"
"15","2021-02",8.94044896166667,2021-02-01,"Volume Mensal"
"16","2021-03",12.4223254116667,2021-03-01,"Volume Mensal"
"17","2021-04",15.5864689533333,2021-04-01,"Volume Mensal"
"18","2021-05",12.3064958333333,2021-05-01,"Volume Mensal"
"19","2021-06",13.0200535946667,2021-06-01,"Volume Mensal"
"20","2021-07",10.83735632,2021-07-01,"Volume Mensal"
"21","2021-08",6.86702961,2021-08-01,"Volume Mensal"
"22","2021-09",26.04510975,2021-09-01,"Volume Mensal"
"23","2021-10",15.4795328105,2021-10-01,"Volume Mensal"
"24","2021-11",20.53489152,2021-11-01,"Volume Mensal"
"25","2021-12",18.67645934,2021-12-01,"Volume Mensal"
"26","2022-01",19.99031819,2022-01-01,"Volume Mensal"
"27","2022-02",24.30596974,2022-02-01,"Volume Mensal"
"28","2022-03",24.4998068,2022-03-01,"Volume Mensal"
"29","2022-04",10.4166041833333,2022-04-01,"Volume Mensal"
